width,17
height,13
bay,2,2
bay,2,3
bay,2,4
bay,2,5
bay,2,6
bay,3,2
bay,3,3
bay,3,4
bay,3,5
bay,3,6
bay,6,2
bay,6,3
bay,6,4
bay,6,5
bay,6,6
bay,7,2
bay,7,3
bay,7,4
bay,7,5
bay,7,6
bay,10,2
bay,10,3
bay,10,4
bay,10,5
bay,10,6
bay,11,2
bay,11,3
bay,11,4
bay,11,5
bay,11,6
bay,14,2
bay,14,3
bay,14,4
bay,14,5
bay,14,6
barrier,15,2
barrier,15,3
barrier,15,4
barrier,15,5
barrier,15,6

dropoff_point,2,9

barrier,3,9
barrier,4,9
barrier,5,9
barrier,6,9
barrier,7,9
barrier,8,9
barrier,9,9
barrier,10,9
barrier,11,9
barrier,12,9
barrier,13,9
barrier,14,9
barrier,15,9

barrier,0,11
barrier,1,11
barrier,2,11
barrier,3,11
barrier,4,11
barrier,5,11
barrier,6,11
barrier,7,11
barrier,8,11
barrier,9,11
barrier,10,11
barrier,11,11
barrier,12,11
barrier,13,11
barrier,14,11
barrier,15,11
barrier,16,11
barrier,17,11
barrier,18,11
barrier,19,11

barrier,3,10

